"fecha","retorno"
2000-01-04,-0.0658546063292889
2000-01-05,0.0245525793053076
2000-01-06,-0.00853120901252069
2000-01-07,0.0124631425662383
2000-01-10,0.042789522379989
2000-01-11,-0.0267317599133623
2000-01-12,0.00265140257766916
2000-01-13,0.0401646201652444
2000-01-14,0.0205980505950691
2000-01-17,0.0221229374751317
2000-01-18,-0.00834357938538588
2000-01-19,-0.0244831724231709
2000-01-20,-0.0169138444910768
2000-01-21,-0.00835993293599913
2000-01-24,-0.00364641937881061
2000-01-26,0.00780589108948959
2000-01-27,-0.00140408377364487
2000-01-28,-0.0205241567825158
2000-01-31,-0.0208932181887835
2000-02-01,0.00814346645569053
2000-02-02,0.0207255097439987
2000-02-03,0.0343223784583291
2000-02-04,0.026846111950551
2000-02-07,0.0107605453393962
2000-02-08,0.0304272087381747
2000-02-09,-0.0175457304307134
2000-02-10,0.0131477614218003
2000-02-11,-0.0284043409590087
2000-02-14,-0.014706966657565
2000-02-15,0.00570790581597436
2000-02-16,0.0106014924595215
2000-02-17,-0.0073702918766152
2000-02-18,-0.0198860614458258
2000-02-21,0.00424629088145068
2000-02-22,-0.011992527712728
2000-02-23,0.0194785616033215
2000-02-24,-0.00320144057310223
2000-02-25,0.000618620496066313
2000-02-28,-0.0138128434462921
2000-02-29,0.00664718522876484
2000-03-01,0.0164550367128786
2000-03-02,0.00350302006858882
2000-03-03,0.0336202806247599
2000-03-08,-0.0189088662356731
2000-03-09,0.0198744797434571
2000-03-10,-0.0200385800638205
2000-03-13,-0.0381927952524546
2000-03-14,-0.0214271344995751
2000-03-15,0.00924755174129466
2000-03-16,0.0148472348213069
2000-03-17,-0.00745316794681194
2000-03-20,0.000856237743894539
2000-03-21,0.0455625376985562
2000-03-22,-0.00158223564667459
2000-03-23,0.000927821051687872
2000-03-24,0.0185921152816526
2000-03-27,0.0146709695657918
2000-03-28,-0.0328812909569631
2000-03-29,-0.0156635336731874
2000-03-30,-0.0227460786934248
2000-03-31,0.00975562478156711
2000-04-03,-0.0327991756538601
2000-04-04,-0.0286464901977084
2000-04-05,-0.00262906461185075
2000-04-06,0.0255182186773197
2000-04-07,0.0212356508434688
2000-04-10,-0.0426340917739907
2000-04-11,-0.0146452410503866
2000-04-12,-0.0131460721037584
2000-04-13,-0.0516706181987399
2000-04-14,-0.0466828448074814
2000-04-17,0.00148598473814765
2000-04-18,0.0391791771519454
2000-04-19,-0.0317821963465743
2000-04-20,0.0183881180895042
2000-04-24,-0.027271083633023
2000-04-25,0.0402107492106527
2000-04-26,0.00291762777074389
2000-04-27,-0.000388525550443219
2000-04-28,0.00632709193159897
2000-05-02,-0.000901423021568704
2000-05-03,-0.0270966207489565
2000-05-04,-0.0092423943261668
2000-05-05,0.0164307393227947
2000-05-08,-0.0217219341462638
2000-05-09,-0.0209691122238294
2000-05-10,-0.0102013567341572
2000-05-11,0.00449314688097502
2000-05-12,-0.00276262348506684
2000-05-15,0.0404595247970345
2000-05-16,0.0199901448765019
2000-05-17,-0.0323537200129795
2000-05-18,-0.0165438718015949
2000-05-19,-0.0207232669937163
2000-05-22,-0.0309047204959825
2000-05-23,-0.0221276951730651
2000-05-24,0.0417312740892442
2000-05-25,0.0014108354484641
2000-05-26,0.0247854514479702
2000-05-29,0.0157601761116055
2000-05-30,0.0317127367934038
2000-05-31,-0.0193345094556854
2000-06-01,0.0324295856665646
2000-06-02,0.0487593423043986
2000-06-05,-0.0123431556224105
2000-06-06,-0.00475446625990728
2000-06-07,0.0201751155403684
2000-06-08,0.00777451805510587
2000-06-09,-0.00348187639879427
2000-06-12,-0.015105561738423
2000-06-13,0.0158395965156934
2000-06-14,0.000733496365404207
2000-06-15,0.0118445215021641
2000-06-16,-0.00824596923667897
2000-06-19,0.025546092427696
2000-06-20,-0.000356146498688759
2000-06-21,0.0240494903547042
2000-06-23,-0.0161845138258894
2000-06-26,-0.0137597805823297
2000-06-27,-0.0140123169470154
2000-06-28,0.0197883773086485
2000-06-29,-0.0261676935750543
2000-06-30,0.0193758890935865
2000-07-03,0.0213510195384394
2000-07-04,0.0110569096662125
2000-07-05,-0.00836873600441201
2000-07-06,0.0123540706465484
2000-07-07,0.0143648562749537
2000-07-10,-0.00724248268558014
2000-07-11,-0.0344108704432422
2000-07-12,0.0101374122115256
2000-07-13,-0.0363654722951452
2000-07-14,0.0262280600836196
2000-07-17,0.029591584007294
2000-07-18,-0.00109330505467042
2000-07-19,-0.0257179523959863
2000-07-20,0.0161728592456001
2000-07-21,0.00660450810411994
2000-07-24,0.00391886163126287
2000-07-25,-0.0195737336737789
2000-07-26,0.00421422923958659
2000-07-27,-0.0100969451867616
2000-07-28,-0.0276972991448829
2000-07-31,-0.00188215349573184
2000-08-01,-0.0100779597813503
2000-08-02,0.00147221226443506
2000-08-03,0.0246417796021436
2000-08-04,0.00238934466458929
2000-08-07,0.0139232631074435
2000-08-08,-0.00655236841503282
2000-08-09,-0.0210067870070478
2000-08-10,0.018041185782554
2000-08-11,0.0327227559908678
2000-08-14,0.0236334353527425
2000-08-15,-0.00376881334863732
2000-08-16,-0.0235506251407731
2000-08-17,0.0212373112759039
2000-08-18,-0.0222186939495597
2000-08-21,-0.0134316058286608
2000-08-22,0.00821994309714036
2000-08-23,0.0130358885863746
2000-08-24,-0.00799751105384416
2000-08-25,0.0189969665513363
2000-08-28,-0.0104265537344723
2000-08-29,-0.00603190109770679
2000-08-30,0.00339383109267466
2000-08-31,-0.00385489962715191
2000-09-01,0.0131716484514897
2000-09-04,0.00204603651939728
