"fecha","log_precio"
2000-01-03,9.3596210653245
2000-01-04,9.3242570888788
2000-01-05,9.2931259791227
2000-01-07,9.31491555981357
2000-01-10,9.32128121633178
2000-01-11,9.30677624962102
2000-01-12,9.29208523592865
2000-01-13,9.29943945263527
2000-01-14,9.3222384166592
2000-01-17,9.33128178276626
2000-01-18,9.31165874479591
2000-01-19,9.31656247924796
2000-01-20,9.30996748107188
2000-01-21,9.30285474373983
2000-01-24,9.30155027145515
2000-01-25,9.29316283634179
2000-01-26,9.30850009238402
2000-01-27,9.3242570888788
2000-01-28,9.30649465565185
2000-01-31,9.2905451158
2000-02-01,9.30291857403566
2000-02-02,9.32327504133204
2000-02-03,9.35392871395773
2000-02-04,9.35704234096217
2000-02-07,9.3506924085539
2000-02-08,9.37879861607907
2000-02-09,9.38760652851143
2000-02-10,9.39437611626298
2000-02-11,9.42807628144019
2000-02-14,9.43016537612375
2000-02-15,9.40632539979239
2000-02-16,9.41206307957549
2000-02-17,9.41952190637434
2000-02-18,9.42286674436221
2000-02-21,9.41412062759895
2000-02-22,9.39904879717712
2000-02-23,9.41835299472172
2000-02-24,9.42159651595289
2000-02-25,9.44863951061117
2000-02-28,9.43083941403111
2000-02-29,9.44032344906817
2000-03-01,9.43657414363737
2000-03-02,9.45011186279479
2000-03-03,9.45289332070831
2000-03-06,9.45851108357198
2000-03-07,9.44677026761613
2000-03-08,9.44685707154561
2000-03-09,9.43852618967216
2000-03-10,9.43457832421518
2000-03-13,9.42219544752054
2000-03-14,9.4379369625278
2000-03-15,9.41568545039695
2000-03-16,9.41416961268571
2000-03-17,9.42301225500198
2000-03-20,9.42241389158738
2000-03-21,9.4180280632234
2000-03-22,9.40690891510459
2000-03-23,9.39875061416243
2000-03-24,9.41032068358164
2000-03-27,9.40607057182879
2000-03-28,9.41009958149359
2000-03-29,9.40001705622049
2000-03-30,9.37868036328094
2000-03-31,9.38722955689143
2000-04-03,9.3661800821775
2000-04-04,9.35739638491462
2000-04-05,9.33913701376725
2000-04-06,9.35944020388011
2000-04-07,9.37505685578488
2000-04-10,9.37319776469663
2000-04-11,9.35143083026033
2000-04-12,9.3537554500942
2000-04-13,9.36282009738457
2000-04-14,9.33819594636458
2000-04-17,9.32521144629104
2000-04-18,9.32914406713795
2000-04-19,9.33607288980003
2000-04-20,9.35027519342863
2000-04-25,9.34360195281415
2000-04-26,9.34849130269473
2000-04-27,9.33016472550261
2000-04-28,9.34730611923684
2000-05-02,9.38153259994927
2000-05-03,9.36459578962182
2000-05-04,9.35854382617055
2000-05-05,9.35538301400133
2000-05-08,9.33291088767327
2000-05-09,9.31214662951657
2000-05-10,9.29028668077273
2000-05-11,9.30894412768172
2000-05-12,9.3149335034263
2000-05-15,9.30649465565185
2000-05-16,9.3255145387416
2000-05-17,9.2970031856205
2000-05-18,9.29556246197168
2000-05-19,9.26339662803474
2000-05-22,9.24244825870457
2000-05-23,9.24764471806931
2000-05-24,9.24400622856025
2000-05-25,9.26488431964371
2000-05-26,9.25312097841325
2000-05-29,9.26472340480366
2000-05-30,9.27317330734885
2000-05-31,9.27692267109591
2000-06-01,9.29426684416904
2000-06-02,9.31843110251567
2000-06-05,9.30603133864699
2000-06-06,9.2856787322602
2000-06-07,9.27696013037722
2000-06-08,9.2872633445347
2000-06-09,9.29405535502741
2000-06-12,9.28649451937406
2000-06-13,9.2878558203088
2000-06-14,9.29474488725561
2000-06-15,9.29431281805534
2000-06-16,9.28021982949623
2000-06-19,9.26819304888301
2000-06-20,9.26514949518953
2000-06-21,9.24487605523022
2000-06-22,9.25822434070429
2000-06-23,9.26227690182625
2000-06-26,9.25807184721196
2000-06-27,9.26181164857084
2000-06-28,9.26702212058
2000-06-29,9.2463240871265
2000-06-30,9.26684253754622
2000-07-03,9.27581808816245
2000-07-04,9.29181801718232
2000-07-05,9.28336672563029
2000-07-06,9.28169208680756
2000-07-07,9.29621430218822
2000-07-10,9.28997280920223
2000-07-11,9.29420245921705
2000-07-12,9.29456105847868
2000-07-13,9.29175347436442
2000-07-14,9.30588587565217
2000-07-17,9.30102070995918
2000-07-18,9.2865130707681
2000-07-19,9.29198390101659
2000-07-20,9.30438510300033
2000-07-21,9.29464373175363
2000-07-24,9.29021284280448
2000-07-25,9.27936153733369
2000-07-26,9.28208310495934
2000-07-27,9.28042497803319
2000-07-28,9.26482754000713
2000-07-31,9.2621344833168
2000-08-01,9.26378532936794
2000-08-02,9.27279759663801
2000-08-03,9.25464326986668
2000-08-04,9.26704103675078
2000-08-07,9.27871740283055
2000-08-08,9.29354014016446
2000-08-09,9.30126729098961
2000-08-10,9.3156537966815
2000-08-11,9.31421269097473
2000-08-14,9.324613958101
2000-08-15,9.32437315505129
2000-08-16,9.33632862824489
2000-08-17,9.31968687832012
2000-08-18,9.31158646821006
2000-08-21,9.31411357383025
2000-08-22,9.29968633452454
2000-08-23,9.28712444071172
2000-08-24,9.27987472444001
2000-08-25,9.28899341258649
2000-08-28,9.29720492015314
2000-08-29,9.29105259705945
2000-08-30,9.29372415669412
2000-08-31,9.29511244346148
2000-09-01,9.32099476048574
2000-09-04,9.32779340527111
2000-09-05,9.32261390049408
2000-09-06,9.32709961985177
2000-09-07,9.33100709303454
2000-09-08,9.3149965673931
2000-09-11,9.32632517720159
2000-09-12,9.33360065439807
2000-09-13,9.324783461216
2000-09-14,9.34588367977108
2000-09-15,9.34688740341747
2000-09-18,9.32260491008515
2000-09-19,9.31158646821006
2000-09-20,9.29663632383944
2000-09-21,9.28761522020652
2000-09-22,9.30831877512604
