"fecha","log_precio"
2014-09-17,6.1254140099065
2014-09-18,6.05077065875745
2014-09-19,5.97836915044147
2014-09-20,6.01348038936555
2014-09-21,5.98851273079242
2014-09-22,5.99683014664021
2014-09-23,6.07716273644852
2014-09-24,6.04785666349042
2014-09-25,6.01998884629725
2014-09-26,6.00246627503209
2014-09-27,5.99026379903264
2014-09-28,5.93272517768747
2014-09-29,5.92817061247934
2014-09-30,5.95827998034788
2014-10-01,5.94963942002047
2014-10-02,5.92711798345685
2014-10-03,5.88474753796263
2014-10-04,5.79565036479939
2014-10-05,5.76991350759104
2014-10-06,5.79933205007513
2014-10-07,5.8176675876249
2014-10-08,5.86629807773243
2014-10-09,5.89996858659759
2014-10-10,5.89043356691172
2014-10-11,5.89246986875149
2014-10-12,5.93634555255401
2014-10-13,5.96720771830372
2014-10-14,5.99363717303906
2014-10-15,5.97831094213712
2014-10-16,5.94687504714097
2014-10-17,5.95001213413834
2014-10-18,5.96983732075704
2014-10-19,5.96498193276992
2014-10-20,5.94763021071721
2014-10-21,5.95706719867518
2014-10-22,5.94844740935079
2014-10-23,5.88169709121434
2014-10-24,5.88149621290969
2014-10-25,5.85010544371947
2014-10-26,5.87128366707165
2014-10-27,5.86643693370641
2014-10-28,5.87946540968925
2014-10-29,5.81589316677833
2014-10-30,5.84442806324242
2014-10-31,5.8239951915172
2014-11-01,5.78612712442664
2014-11-02,5.78656603289102
2014-11-03,5.79165288300403
2014-11-04,5.80058246654685
2014-11-05,5.82743268674149
2014-11-06,5.85590254718072
2014-11-07,5.83602347667411
2014-11-08,5.84495792941215
2014-11-09,5.89512986349179
2014-11-10,5.90515477274803
2014-11-11,5.90725381009217
2014-11-12,6.04869755245167
2014-11-13,6.04200314699523
2014-11-14,5.98599459708137
2014-11-15,5.92994279256532
2014-11-16,5.96070114007421
2014-11-17,5.95947837415196
2014-11-18,5.92745388142187
2014-11-19,5.94163069425888
2014-11-20,5.88008594889066
2014-11-21,5.86035305827693
2014-11-22,5.86624144040143
2014-11-23,5.9069219330689
2014-11-24,5.93198255608427
2014-11-25,5.92785357418016
2014-11-26,5.90908785458535
2014-11-27,5.91261075209772
2014-11-28,5.93077724308261
2014-11-29,5.92823449572225
2014-11-30,5.93501851876499
2014-12-01,5.93818242135102
2014-12-02,5.94362581159542
2014-12-03,5.9269527183225
2014-12-04,5.91243217278853
2014-12-05,5.93185785490134
2014-12-06,5.9263525379899
2014-12-07,5.92717933047466
2014-12-08,5.89139278956447
2014-12-09,5.86425312459268
2014-12-10,5.84749310412789
2014-12-11,5.85937785886075
2014-12-12,5.86516974193034
2014-12-13,5.85040778717348
2014-12-14,5.86258514155142
2014-12-15,5.84454392089918
2014-12-16,5.79014979120183
2014-12-17,5.76762075373327
2014-12-18,5.74106540155792
2014-12-19,5.7615575094629
2014-12-20,5.79895929299963
2014-12-21,5.77095186658052
2014-12-22,5.80479149526184
2014-12-23,5.81285207604354
2014-12-24,5.77620854643821
2014-12-25,5.76521616706468
2014-12-26,5.79278190846595
2014-12-27,5.75530859614478
2014-12-28,5.75965547611898
2014-12-29,5.74514836420748
2014-12-30,5.73894689367246
2014-12-31,5.76892391763756
2015-01-01,5.75018564275535
2015-01-02,5.75267426204103
2015-01-03,5.63864644431639
2015-01-04,5.57668749457515
2015-01-05,5.61485653523716
2015-01-06,5.65665241551422
2015-01-07,5.68472538846697
2015-01-08,5.64667934995874
2015-01-09,5.67128679463126
2015-01-10,5.61602896777533
2015-01-11,5.5822173094893
2015-01-12,5.5902254592474
2015-01-13,5.41991973229827
2015-01-14,5.18236201680297
2015-01-15,5.34636436959699
2015-01-16,5.33800431773619
2015-01-17,5.29461047704889
2015-01-18,5.34872053634607
2015-01-19,5.36999127219655
