"fecha","log_precio"
2000-01-03,9.73684247512718
2000-01-04,9.67098786879789
2000-01-05,9.6955404481032
2000-01-06,9.68700923909068
2000-01-07,9.69947238165692
2000-01-10,9.74226190403691
2000-01-11,9.71553014412354
2000-01-12,9.71818154670121
2000-01-13,9.75834616686646
2000-01-14,9.77894421746153
2000-01-17,9.80106715493666
2000-01-18,9.79272357555127
2000-01-19,9.7682404031281
2000-01-20,9.75132655863703
2000-01-21,9.74296662570103
2000-01-24,9.73932020632222
2000-01-26,9.74712609741171
2000-01-27,9.74572201363806
2000-01-28,9.72519785685554
2000-01-31,9.70430463866676
2000-02-01,9.71244810512245
2000-02-02,9.73317361486645
2000-02-03,9.76749599332478
2000-02-04,9.79434210527533
2000-02-07,9.80510265061473
2000-02-08,9.8355298593529
2000-02-09,9.81798412892219
2000-02-10,9.83113189034399
2000-02-11,9.80272754938498
2000-02-14,9.78802058272741
2000-02-15,9.79372848854339
2000-02-16,9.80432998100291
2000-02-17,9.79695968912629
2000-02-18,9.77707362768047
2000-02-21,9.78131991856192
2000-02-22,9.76932739084919
2000-02-23,9.78880595245251
2000-02-24,9.78560451187941
2000-02-25,9.78622313237548
2000-02-28,9.77241028892919
2000-02-29,9.77905747415795
2000-03-01,9.79551251087083
2000-03-02,9.79901553093942
2000-03-03,9.83263581156418
2000-03-08,9.8137269453285
2000-03-09,9.83360142507196
2000-03-10,9.81356284500814
2000-03-13,9.77537004975569
2000-03-14,9.75394291525611
2000-03-15,9.76319046699741
2000-03-16,9.77803770181871
2000-03-17,9.7705845338719
2000-03-20,9.7714407716158
2000-03-21,9.81700330931435
2000-03-22,9.81542107366768
2000-03-23,9.81634889471936
2000-03-24,9.83494101000102
2000-03-27,9.84961197956681
2000-03-28,9.81673068860985
2000-03-29,9.80106715493666
2000-03-30,9.77832107624323
2000-03-31,9.7880767010248
2000-04-03,9.75527752537094
2000-04-04,9.72663103517323
2000-04-05,9.72400197056138
2000-04-06,9.7495201892387
2000-04-07,9.77075584008217
2000-04-10,9.72812174830818
2000-04-11,9.71347650725779
2000-04-12,9.70033043515403
2000-04-13,9.64865981695529
2000-04-14,9.60197697214781
2000-04-17,9.60346295688596
