"fecha","log_precio"
2000-01-03,7.28291235079248
2000-01-04,7.24381317545155
2000-01-05,7.24573351341313
2000-01-06,7.24668873515319
2000-01-07,7.27341868488306
2000-01-10,7.2845465097562
2000-01-11,7.2713979329673
2000-01-12,7.26700191328869
2000-01-13,7.27909815845411
2000-01-14,7.28971292195144
2000-01-18,7.28285740497471
2000-01-19,7.28337956184833
2000-01-20,7.27625894927847
2000-01-21,7.27334238114452
2000-01-24,7.24531979691606
2000-01-25,7.2513662805191
2000-01-26,7.24714466075243
2000-01-27,7.24319845672795
2000-01-28,7.21535764399822
2000-01-31,7.24026249452734
2000-02-01,7.25083423544275
2000-02-02,7.250720671592
2000-02-03,7.26190601928992
2000-02-04,7.2614848862542
2000-02-07,7.26139361023988
2000-02-08,7.27359210391247
2000-02-09,7.25255698685272
2000-02-10,7.2561772297055
2000-02-11,7.23498493071631
2000-02-14,7.23701581756986
2000-02-15,7.24569076512293
2000-02-16,7.23538139230626
2000-02-17,7.23580645044373
2000-02-18,7.20495934736204
2000-02-22,7.20946602084315
2000-02-23,7.21574715994949
2000-02-24,7.21039742963325
2000-02-25,7.19545734024781
2000-02-28,7.20641441899379
2000-02-29,7.21994949209044
2000-03-01,7.22925160681892
2000-03-02,7.23111333495391
2000-03-03,7.25075618875129
2000-03-06,7.23797948675709
2000-03-07,7.2120141896368
2000-03-08,7.22015431824373
2000-03-09,7.24543388864715
2000-03-10,7.24069983370747
2000-03-13,7.23245852847434
2000-03-14,7.21461480129892
2000-03-15,7.23859742107196
2000-03-16,7.285143199931
2000-03-17,7.28924866124576
2000-03-20,7.28388083083213
2000-03-21,7.30912534391263
2000-03-22,7.31364697252209
2000-03-23,7.33128947056659
2000-03-24,7.33136147855
2000-03-27,7.3290018588971
2000-03-28,7.3183604744905
2000-03-29,7.31888432966203
2000-03-30,7.3051344800416
2000-03-31,7.31227324272712
2000-04-03,7.31719246838887
2000-04-04,7.30970085444085
2000-04-05,7.30476473535979
2000-04-06,7.31411329887277
2000-04-07,7.32406139416763
2000-04-10,7.31618928284625
2000-04-11,7.31361362031086
2000-04-12,7.29109068413545
2000-04-13,7.27275250331378
2000-04-14,7.21270740579176
2000-04-17,7.2452555166051
2000-04-18,7.27351581340581
2000-04-19,7.26365890502387
2000-04-20,7.26859954654288
2000-04-24,7.26533180611866
2000-04-25,7.29806609965965
2000-04-26,7.28686956041606
2000-04-27,7.28955594245003
2000-04-28,7.28099333177373
2000-05-01,7.29182649440263
2000-05-02,7.2767569628697
2000-05-03,7.25495546170579
2000-05-04,7.25103993421758
2000-05-05,7.26726719831591
2000-05-08,7.26134449772571
2000-05-09,7.252861573653
2000-05-10,7.23204651960586
