"Activo","Observaciones","Desde","Hasta","NA_detectados","Media","Desviacion","Min","Max","Skewness","Kurtosis"
"sp500",6287,"2000-01-04","2024-12-30",0,0.00022283614587297,0.0122347907766431,-0.127652197472817,0.109571967595341,-0.386114305512267,13.3947625420308
"ibex35",6356,"2000-01-04","2024-12-30",64,-9.94946036211617e-07,0.0141475249942968,-0.151511759380115,0.134836366938508,-0.297272821507266,11.0979080161493
"bovespa",6190,"2000-01-04","2024-12-30",87,0.000316762536908999,0.0172647366961128,-0.159930265676044,0.136766115946621,-0.34320387608699,9.82853690781968
"oro",6104,"2000-08-31","2024-12-30",82,0.000369077181097784,0.0108749371470303,-0.0982057916660999,0.0864316566603041,-0.295763924340242,8.35209368169069
"bitcoin",3758,"2014-09-18","2024-12-31",0,0.00141552560743252,0.0364569881580011,-0.464730175339774,0.225118954341328,-0.723985566160913,14.3799181580924
"tesla",3018,"2013-01-03","2024-12-30",0,0.00171522136815302,0.0360051503669614,-0.236517894457677,0.218292410130139,0.0544142002598487,7.63731346029601
