"fecha","precio_ajustado"
2013-01-02,2.35733294487
2013-01-03,2.31800007820129
2013-01-04,2.29333305358887
2013-01-07,2.28933310508728
2013-01-08,2.24533295631409
2013-01-09,2.24266695976257
2013-01-10,2.23533296585083
2013-01-11,2.19400000572205
2013-01-14,2.2173330783844
2013-01-15,2.25999999046326
2013-01-16,2.27333307266235
2013-01-17,2.29200005531311
2013-01-18,2.30133295059204
2013-01-22,2.34599995613098
2013-01-23,2.40000009536743
2013-01-24,2.46600008010864
2013-01-25,2.46533298492432
2013-01-28,2.53533291816711
2013-01-29,2.52999997138977
2013-01-30,2.50133299827576
2013-01-31,2.50066709518433
2013-02-01,2.55333304405212
2013-02-04,2.51600003242493
2013-02-05,2.54200005531311
2013-02-06,2.61133289337158
2013-02-07,2.63199996948242
2013-02-08,2.6159999370575
2013-02-11,2.5613329410553
2013-02-12,2.52600002288818
2013-02-13,2.56333303451538
2013-02-14,2.55133295059204
2013-02-15,2.4693329334259
2013-02-19,2.61866688728333
2013-02-20,2.56933307647705
2013-02-21,2.34400010108948
2013-02-22,2.40733289718628
2013-02-25,2.29200005531311
2013-02-26,2.29533290863037
2013-02-27,2.33999991416931
2013-02-28,2.32200002670288
2013-03-01,2.30999994277954
2013-03-04,2.37199997901917
2013-03-05,2.44333291053772
2013-03-06,2.51266694068909
2013-03-07,2.54866695404053
2013-03-08,2.56466698646545
2013-03-11,2.60666704177856
2013-03-12,2.60800004005432
2013-03-13,2.59866690635681
2013-03-14,2.45666694641113
2013-03-15,2.35266709327698
2013-03-18,2.34333300590515
2013-03-19,2.33866691589355
2013-03-20,2.39666700363159
2013-03-21,2.40066695213318
2013-03-22,2.44133305549622
2013-03-25,2.50200009346008
2013-03-26,2.5239999294281
2013-03-27,2.54399991035461
2013-03-28,2.52600002288818
2013-04-01,2.92866706848145
2013-04-02,2.95600008964539
2013-04-03,2.74000000953674
2013-04-04,2.80066704750061
2013-04-05,2.75799989700317
2013-04-08,2.78866696357727
2013-04-09,2.70000004768372
2013-04-10,2.79066705703735
2013-04-11,2.90599989891052
2013-04-12,2.91666698455811
2013-04-15,2.88666701316833
2013-04-16,3.03933310508728
2013-04-17,3.02999997138977
2013-04-18,3.13133311271667
2013-04-19,3.1886670589447
2013-04-22,3.34599995613098
2013-04-23,3.40066695213318
2013-04-24,3.36199998855591
2013-04-25,3.46666693687439
2013-04-26,3.41333293914795
2013-04-29,3.66266703605652
2013-04-30,3.59933304786682
2013-05-01,3.55200004577637
2013-05-02,3.60733294487
2013-05-03,3.63666701316833
2013-05-06,3.96666693687439
2013-05-07,3.70066690444946
2013-05-08,3.7193329334259
2013-05-09,4.62666702270508
