Activo,d_final_full,d_first60,d_last60,diff_abs,robust_flag
bitcoin,,,,,FALSE
bovespa,0.0114733137435857,0.0114733137435857,0.0114733137435857,0,TRUE
ibex35,-0.0172515717259252,-0.0271660923392377,-0.00367331374358573,0.0234927785956519,FALSE
oro,-0.0187458588081071,-0.0162528642610261,-0.0288129438812565,0.0125600796202304,TRUE
sp500,,,,,FALSE
tesla,,,,,FALSE
