Activo,AIC_ARFIMA,BIC_ARFIMA,RMSE_ARFIMA_in,AIC_ARIMA,BIC_ARIMA,RMSE_ARIMA_in,AIC_RB,BIC_RB,RMSE_RB_in,RMSE_ARFIMA_oos,MAE_ARFIMA_oos,RMSE_ARIMA_oos,MAE_ARIMA_oos,RMSE_RB_oos,MAE_RB_oos,VaR1_ARFIMA,VaR5_ARFIMA,VaR1_ARIMA,VaR5_ARIMA,VaR1_RB,VaR5_RB,t_ARFIMA,t_ARIMA,t_RB,d_inicial,d_perfil,d_final,valid_loglik
bitcoin,,,,-14220.411241262,-14195.4846725421,0.0364424293087409,-14218.7473299957,-14212.5156878157,0.0364796110579943,0.0252225600477946,0.0175607084259448,0.0251434325701895,0.0175777507059006,0.0252225600477946,0.0175607084259448,0,6,0,7,0,6,0.0100000000093132,0.216000000000349,0.0019999999931315,0.0382,0.0382,,FALSE
bovespa,-32676.1088357969,-32662.6474550655,0.017272331010161,-32683.3966114676,-32663.2045403706,0.0172586966173607,-32681.9816220787,-32675.250931713,0.0172662479431543,0.0164462284798345,0.0107041053917208,0.016449912850944,0.0107001807550699,0.0164462284798345,0.0107041053917208,14,29,14,31,14,29,0.0130000000062864,0.271999999997206,0.00899999999091961,0.0114,0.0614,0.0114733137435857,TRUE
ibex35,-36093.2383639106,-36079.7240548553,0.0141432038269792,-36092.3464498197,-36051.8035226538,0.0141347744442289,-36091.8898947692,-36085.1327402415,0.0141464120587453,0.0131847771192027,0.00891156545296767,0.013184727550349,0.00891174763336955,0.0131847771192027,0.00891156545296767,20,42,20,42,20,42,0.00899999999091961,1.77700000000186,0.0029999999969732,-0.00359999999999999,-0.0536,-0.0172515717259252,TRUE
oro,-37874.2848095493,-37860.8514104034,0.010871313734303,-37869.6697580341,-37849.5196593152,0.0108730590294804,-37865.5337464407,-37858.8170468678,0.0108803079478034,0.0103306421066388,0.00743109225022314,0.0103242543570797,0.00740584777053617,0.0103306421066388,0.00743109225022314,18,53,19,54,18,53,0.00800000000162982,0.157000000006519,0.00300000001152512,-0.0116,-0.0616,-0.0187458588081071,TRUE
sp500,,,,-37585.3503457579,-37565.1116278927,0.0121728298970516,-37524.4343596125,-37517.6881203241,0.0122358470009769,0.0134988711129474,0.00884844449785881,0.0134986683920556,0.00884789964991241,0.0134988711129474,0.00884844449785881,35,59,35,59,35,59,0.0179999999963911,0.17500000000291,0.00200000000768341,-0.0257,-0.0257,,FALSE
tesla,,,,-11496.5142476064,-11484.4895483277,0.0359991848047687,-11491.6706925111,-11485.6583428717,0.0360400234593384,0.0372708685791185,0.0274005076829486,0.0373089064005122,0.0274360649812387,0.0372708685791185,0.0274005076829486,14,31,14,35,14,31,0.00800000000162982,0.0800000000017462,0.0019999999931315,0.039,0.039,,FALSE
