"Activo","Modelo_ARIMA","AIC_ARIMA","BIC_ARIMA","RMSE_ARIMA","AIC_RB","BIC_RB","RMSE_RB","d_ARFIMA","AIC_ARFIMA","BIC_ARFIMA","d_MFDFA_ret","d_FIGARCH","d_MFDFA_var","RMSE_GARCH","RMSE_FIGARCH","AIC_GARCH","BIC_GARCH","AIC_FIGARCH","BIC_FIGARCH","VaR1_viol_GARCH","VaR1_pval_GARCH","VaR1_viol_FIGARCH","VaR1_pval_FIGARCH","VaR5_viol_GARCH","VaR5_pval_GARCH","VaR5_viol_FIGARCH","VaR5_pval_FIGARCH","Tiempo_GARCH","Tiempo_FIGARCH","d_roll_1","d_roll_2","d_roll_3","d_roll_4","d_roll_5"
"bitcoin","ARIMA(0,0,0)",-14218.7473299957,-14212.5156878157,0.0364796110579943,-14223.4098375332,-14217.1781953532,0.0364569881580011,0.00279510507833616,-14224.7521155292,-14218.5204733492,0.0382,0.476753383314291,0.1786,0.0221562887691759,0.0214998284119226,-14845.0612329714,-14826.3663064315,-14862.706792192,-14837.7802234722,3,0.683051884374668,4,0.902013786526788,14,0.235085021699907,14,0.235085021699907,0.376000000003842,1.83199999999488,0.64843873899635,0.543499357155493,0.603178905521985,0.416758510257286,0.372260068980515
"sp500","ARIMA(0,0,1)",-37586.346748284,-37572.8542697073,0.0121738011100972,-37525.5198208826,-37518.7735815942,0.0122347907766431,4.58301292387754e-05,-37526.9402349458,-37520.1939956574,-0.0257,0.568738526735149,0.4356,0.00688652555060677,0.00699255350603155,-40547.4602309426,-40527.2215130775,-40571.85642461,-40544.8714674565,9,0.307692652443774,8,0.510819706529521,32,0.920069926739204,28,0.520455724501521,0.438000000009197,2.91000000000349,0.559612741658953,0.601661491510322,0.612768144381211,0.617288442653917,0.583536860883503
"ibex35","ARIMA(3,0,0)",-36093.7414132493,-36066.7127951387,0.0141376733536228,-36090.8898475357,-36084.132693008,0.0141475249942968,4.58301292387754e-05,-36092.3647143836,-36085.6075598559,-0.00359999999999999,0.490652340803729,0.3378,0.00628796026865445,0.00618475636422669,-38147.3491062634,-38127.0776426804,-38198.3184270084,-38171.2898088978,4,0.312765226708332,5,0.573397519278587,28,0.480737523858999,28,0.480737523858999,0.479999999995925,2.93499999999767,0.548884838052536,0.513537654385614,0.509987488560449,0.536994404199682,0.486863401944829
"oro","ARIMA(0,0,0)",-37865.5337464407,-37858.8170468678,0.0108803079478034,-37871.5614181019,-37864.8447185289,0.0108749371470303,4.58301292387754e-05,-37873.0161872389,-37866.2994876659,-0.0116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tesla","ARIMA(0,0,0)",-11491.6706925111,-11485.6583428717,0.0360400234593384,-11497.5140818971,-11491.5017322578,0.0360051503669614,0.0137371429582461,-11499.7448867576,-11493.7325371183,0.039,0.999999887551839,0.2059,0.0277153721311332,0.0281478665891103,-11859.9747121808,-11841.9376632628,-11850.5924637146,-11826.5430651573,7,0.0493806880399219,6,0.128723382649546,12,0.396648950532926,12,0.396648950532926,0.228000000002794,1.15299999999115,0.999999846555592,0.999999736955531,0.999999789441167,0.999999949600306,0.999999781908771
"bovespa","ARIMA(0,0,1)",-32683.2488799353,-32669.7874992039,0.0172616909891651,-32683.0652424029,-32676.3345520373,0.0172647366961128,4.58301292387754e-05,-32684.5214415384,-32677.7907511727,0.0114,0.975192092943872,0.3672,0.00790378379871486,0.00770269288853787,-34196.146806861,-34175.954735764,-34175.377953519,-34148.4551920563,2,0.0485908594308276,0,0.000419715050116176,14,0.000485356295821027,20,0.0312893713799812,0.569000000003143,2.56600000000617,0.992177540981253,0.923297931285715,0.33643214814593,0.332500591098063,0.976671782447134
