"fecha","volatilidad_empirica","sigma_garch","sigma_figarch"
"2023-12-22",0.00293056578719408,0.0284958135722732,0.0260887942049522
"2023-12-23",0.00588939239897712,0.0272954607752292,0.0251416583608605
"2023-12-24",0.0166777025964802,0.0263130649517803,0.0242563422334224
"2023-12-25",0.013783631646973,0.0260740968084034,0.024151268325006
"2023-12-26",0.0253744795398312,0.0256506242991369,0.0235562354693922
"2023-12-27",0.0214623912043397,0.026428269003058,0.0246128479582924
"2023-12-28",0.0189384832630335,0.0266194942423645,0.0245521590710396
"2023-12-29",0.0124743793520086,0.0265305530426489,0.0244497613309055
"2023-12-30",0.0013648832366826,0.0259536930403877,0.0238187083932885
"2023-12-31",0.00256532895205552,0.0250664574701288,0.0229206129848437
"2024-01-01",0.0440216648373255,0.0243116099487204,0.0222229691594353
"2024-01-02",0.0177426040136055,0.028463932827232,0.0274640323140416
"2024-01-03",0.0480649535787556,0.0279859442484667,0.0254593609905991
"2024-01-04",0.0306073577182868,0.0319261138766783,0.0307799006808488
"2024-01-05",0.000390082845152406,0.0322307286306913,0.0300142324098477
"2024-01-06",0.00393630412751023,0.0305576124938008,0.0281846660571316
"2024-01-07",0.00104848080077602,0.0291176369975871,0.0271553142247958
"2024-01-08",0.0666242663558734,0.0278218298814289,0.0259018832317502
"2024-01-09",0.0178454171064377,0.0358819049275271,0.0357224166417219
"2024-01-10",0.0105220327519486,0.0343970784631732,0.0313094137829553
"2024-01-11",0.00557424114752259,0.0326940013081619,0.0303434706318873
"2024-01-12",0.0788426288329944,0.0310314038970641,0.0290293184085898
"2024-01-13",0.000251708664185557,0.0409387125550961,0.0411540461318363
"2024-01-14",0.0247207753553589,0.038301465606237,0.0348119146802866
"2024-01-15",0.0169785640464202,0.0370312209323986,0.034977021842717
"2024-01-16",0.0150113645058063,0.0353465653266275,0.0334518090794421
"2024-01-17",0.00959971282586203,0.0337516894843963,0.0319380762809809
"2024-01-18",0.0352539060043799,0.0320886690031675,0.0301859862662788
"2024-01-19",0.00859912773807459,0.0329726479002855,0.0315532016679217
"2024-01-20",0.00113298345354629,0.0313658857764347,0.0290240565335961
"2024-01-21",0.00287943492455689,0.0297973694208296,0.0276571285451065
"2024-01-22",0.0503089102812559,0.0284341660494443,0.0264125979357092
"2024-01-23",0.00852358425792232,0.0326963916844252,0.0318793098787795
"2024-01-24",0.00579370572798688,0.0311202231150794,0.0284539018348139
"2024-01-25",0.00358115728949393,0.0296516560280186,0.0275733397548679
"2024-01-26",0.0460765744948173,0.0283167733675064,0.0264973628684871
"2024-01-27",0.00722411285539692,0.0317899738918715,0.0310206008804869
"2024-01-28",0.00200725601730767,0.0302803058394331,0.0279093119879154
"2024-01-29",0.0293644157369144,0.0288484193319275,0.0269444529801648
"2024-01-30",0.00778374498993628,0.0295400940669568,0.0282720732147365
"2024-01-31",0.00865155280904695,0.0283284996040176,0.026404160959703
"2024-02-01",0.0115148902942401,0.0273070300018914,0.025564182240911
"2024-02-02",0.00255237453024471,0.0265630704761239,0.0248893339271508
"2024-02-03",0.00449324549215113,0.0256069047689761,0.0238135299619245
"2024-02-04",0.00955108622874512,0.0248140727221507,0.0230298932652387
"2024-02-05",0.00176170753164762,0.0243205593701116,0.0225521057663776
"2024-02-06",0.0099368047086994,0.0236595376225341,0.0217720135396033
"2024-02-07",0.0282286462102803,0.0233586498346511,0.0215351718331238
"2024-02-08",0.0219456712821149,0.0249855004745208,0.0235728380124673
"2024-02-09",0.039932995408412,0.0254801091876737,0.0236108567772141
"2024-02-10",0.0131499606950634,0.0285376109361213,0.0273377237134991
"2024-02-11",0.0108810642585837,0.0277189078895238,0.0254336330784994
"2024-02-12",0.0338814785316526,0.0268835364501115,0.0249861476408697
"2024-02-13",0.00432858876011721,0.0286006926770616,0.0273976558934459
"2024-02-14",0.0410468495104084,0.0274111151577833,0.0252463503288628
"2024-02-15",0.00215600922910753,0.0301921089339618,0.0291228432255729
"2024-02-16",0.00425843260976144,0.0287723463015315,0.0263687079945234
"2024-02-17",0.00957802949778674,0.0275596318951211,0.0255500302815361
"2024-02-18",0.00885583428071257,0.026681461924568,0.0248041574323391
"2024-02-19",0.00661016369404521,0.0258903500696602,0.0239263072673317
"2024-02-20",0.00971967933731932,0.0251197335966685,0.0230401867660836
"2024-02-21",0.00856090431522993,0.0245903308796869,0.0224738924136449
"2024-02-22",0.0103585476400152,0.0240814018498118,0.0218697337197832
"2024-02-23",0.0112318061155126,0.0237400836414891,0.0215101162994874
"2024-02-24",0.0164055941302177,0.0235026595961964,0.0212465258249078
"2024-02-25",0.00313901336823719,0.0236964523339937,0.0215237335833308
"2024-02-26",0.0525111876569451,0.0231423467436729,0.0207078498109528
"2024-02-27",0.0459362164404737,0.0294954728975107,0.0287275369625445
"2024-02-28",0.0906952929770419,0.0326490190012666,0.030745658047435
"2024-02-29",0.0211224142700193,0.044973924597117,0.0449622132950209
"2024-03-01",0.0200954657884242,0.0426023652189867,0.0388464078870228
"2024-03-02",0.00660054731209136,0.040443225670949,0.0382240172195961
"2024-03-03",0.0181722046590131,0.0379327530116272,0.0361594844338308
"2024-03-04",0.0785670808490071,0.0362129637137222,0.0346887976662964
"2024-03-05",0.0685829818149202,0.0442940439841387,0.044342842481839
"2024-03-06",0.0354997002008659,0.0481249834474565,0.0463108380654776
"2024-03-07",0.0123081400525162,0.0465402744770964,0.0436578220903892
"2024-03-08",0.020331312236987,0.0435515009192559,0.041169908557601
"2024-03-09",0.00290629663201969,0.0412955949204049,0.0395672847098758
