"fecha","volatilidad_empirica","sigma_garch","sigma_figarch"
"2022-06-30",0.00879786624636836,0.017412783684452,0.0177141767817783
"2022-07-01",0.0104985112966407,0.0165276311676534,0.0164826934219904
"2022-07-05",0.00158287510619104,0.0158503328583985,0.015513531415105
"2022-07-06",0.00356679570506735,0.0148077866309317,0.0144708852614402
"2022-07-07",0.0148537231809307,0.0138905272236168,0.0134172835153133
"2022-07-08",0.000830616396127581,0.0139800287436372,0.0132514971735754
"2022-07-11",0.0115944176605272,0.0130744140265675,0.0128804486202995
"2022-07-12",0.00928686849749383,0.0128848347470863,0.012641250945386
"2022-07-13",0.00446686411181396,0.0124874490153024,0.0124896735868614
"2022-07-14",0.00300313881276537,0.0117986801162819,0.0120470876029648
"2022-07-15",0.0190192316586355,0.0111112320870009,0.0114163768032721
"2022-07-18",0.00839874248583783,0.0123539033879227,0.0122080281006696
"2022-07-19",0.0272535176437305,0.0119364142146341,0.0126396166287194
"2022-07-20",0.00587849394105788,0.0146693520864199,0.0147270999247392
"2022-07-21",0.00981306668950666,0.0138590683353869,0.0153759759250473
"2022-07-22",0.00937628729381501,0.0134023036393633,0.014849734720045
"2022-07-25",0.00131430297330404,0.0129564079450616,0.0141294204534677
"2022-07-26",0.0116103425992637,0.0121362936561136,0.013166534885658
"2022-07-27",0.0258200487786322,0.0120693567303148,0.0126221771259172
"2022-07-28",0.0120603197919102,0.014447244155757,0.0143300982474161
"2022-07-29",0.0141077757817545,0.0141398358309737,0.0152115022470933
"2022-08-01",0.0028270765449161,0.0141013967256375,0.0152243325973719
"2022-08-02",0.00668468837887204,0.013219838140914,0.0144779413710085
"2022-08-03",0.015517456270091,0.0125873460209631,0.0134818355054737
"2022-08-04",0.000777642449584448,0.0129664676051221,0.0133068592069477
"2022-08-05",0.00162706901891774,0.0121399528085984,0.0128381190214329
"2022-08-08",0.0012383171221213,0.0113900038652561,0.0119742433262748
"2022-08-09",0.00425774423592706,0.0106948837270727,0.0110966284503558
"2022-08-10",0.0210671584604079,0.0101564497336913,0.0104046943487671
"2022-08-11",0.000705722922202057,0.0120439433981326,0.0117156243951984
"2022-08-12",0.0171740469514923,0.0112902411617971,0.0121639286131378
"2022-08-15",0.0039616840562342,0.0121648806349141,0.0127082817510541
"2022-08-16",0.00187392282594701,0.0114819726571167,0.0126002072458257
"2022-08-17",0.00726411486764711,0.0107904649502623,0.0118448997909113
"2022-08-18",0.00226698960638494,0.0104461354863482,0.0111791805839282
"2022-08-19",0.0129839287130391,0.00985112941244013,0.0105272662005253
"2022-08-22",0.0216323664664948,0.0103167826577269,0.0106142219503832
"2022-08-23",0.00224037043443737,0.0122805390624402,0.0123399826801076
"2022-08-24",0.00291191669872326,0.0115316997854736,0.0127839426677623
"2022-08-25",0.0139932418361077,0.0108638361895852,0.0121268832675594
"2022-08-26",0.0342685763170394,0.0113059843964143,0.0119908883498255
"2022-08-29",0.0066886751973243,0.0159640862848911,0.0155772781897973
"2022-08-30",0.0110894164921174,0.0150833979994449,0.0168653443987626
"2022-08-31",0.0078477382081541,0.0146085894598995,0.0163274282219222
"2022-09-01",0.00299175226719584,0.0139217507443319,0.0152856294401801
"2022-09-02",0.0107945525707258,0.0130590627593677,0.0140130986303574
"2022-09-06",0.0041034646908944,0.0127868281983783,0.0131455287003402
"2022-09-07",0.0181748486661704,0.0120563781044615,0.0123360424168366
"2022-09-08",0.0065889668804413,0.0129497185684804,0.0126910531562731
"2022-09-09",0.0151560149812138,0.012336599129267,0.0127145178286936
"2022-09-12",0.0105286514839946,0.012704200312058,0.0128766068248695
"2022-09-13",0.0441991630319745,0.0124471790302015,0.0128921561378713
"2022-09-14",0.00338128907884361,0.0193041755691177,0.018204016311221
"2022-09-15",0.0113822721681487,0.01802923308889,0.0200658360333885
"2022-09-16",0.00720804977566303,0.0172720137510449,0.019268244024482
"2022-09-19",0.00683369772470499,0.0163054823419124,0.0177749376452587
"2022-09-20",0.0113361147366007,0.0154028054142314,0.0161992708422296
"2022-09-21",0.0172646740985058,0.0149156997730283,0.0150607081987539
"2022-09-22",0.0084632938304523,0.0151753082014683,0.0148800373259455
"2022-09-23",0.0173828287673317,0.0144771170901478,0.0145100693997684
"2022-09-26",0.010394360890281,0.0148212606453922,0.0145750386772895
"2022-09-27",0.00212261095482447,0.0143122890945766,0.0144292942201505
"2022-09-28",0.0194811441811531,0.0133980891050402,0.0136343130817163
"2022-09-29",0.0213527948231,0.0142515318786047,0.0139021321071376
"2022-09-30",0.0151813515462074,0.0152550219549887,0.0151280007685364
"2022-10-03",0.0255545775309294,0.0151962839604971,0.0157309859014928
"2022-10-04",0.0301253414167988,0.0167508003468439,0.0169781144203686
"2022-10-05",0.00201998755893484,0.0188216169906984,0.019175380945833
"2022-10-06",0.0102979229113966,0.0175584004041281,0.0192267722728294
"2022-10-07",0.0284031965314764,0.0167637976725774,0.0180299466634873
"2022-10-10",0.00752067313365679,0.0185044579923773,0.0185887369486776
"2022-10-11",0.00654051841232217,0.0174484503036484,0.0183937791880135
"2022-10-12",0.0032961996501637,0.0164328683582228,0.0171643592013184
"2022-10-13",0.0256342593076297,0.0153785673387249,0.0156718853030175
"2022-10-14",0.023947120744527,0.0169082674089158,0.0162184578186021
"2022-10-17",0.0261355245575619,0.0178421447676498,0.0176737827679365
"2022-10-18",0.0113627682070856,0.018963323115417,0.0191796904768918
"2022-10-19",0.00669445523968371,0.0181125789909544,0.019176166710136
"2022-10-20",0.00798268673876557,0.0170485031319703,0.0179917795852364
