"fecha","volatilidad_empirica","sigma_garch","sigma_figarch"
"2022-07-11",0.0209276104792213,0.0128345947161361,0.012647831829475
"2022-07-12",0.000600560880821277,0.0137169737687397,0.0133948174119495
"2022-07-13",0.00397651325412163,0.0132791734924803,0.0132295479334466
"2022-07-14",0.0181446406377876,0.0129170793761482,0.0128612064766799
"2022-07-15",0.00446355167245649,0.0134865628761451,0.0132650760683629
"2022-07-18",0.00377325779648707,0.0131210252241699,0.0130622281318859
"2022-07-19",0.0136197349239762,0.0127660038074858,0.0126837885822836
"2022-07-20",0.00042741131865931,0.012945149548534,0.0127304961080962
"2022-07-21",0.00756135773689159,0.0125611720221797,0.0123994764160171
"2022-07-22",0.00109114065322125,0.0123793197924476,0.0121291008083163
"2022-07-25",0.0135045602643462,0.0120394757251206,0.01173615638973
"2022-07-26",0.00497896470529469,0.0122924841270636,0.011839002714487
"2022-07-27",0.0165601915756834,0.0120330587605373,0.0116267773297258
"2022-07-28",0.011360918136873,0.012564964608948,0.0120427141657528
"2022-07-29",0.00552095569409694,0.0125993298692232,0.0121953349671925
"2022-08-01",0.00915338198648818,0.0123330470547198,0.0119988745674018
"2022-08-02",0.0110611234415821,0.0122528916215977,0.0118706737146135
"2022-08-03",0.00398770424681594,0.012298762021905,0.0118762716225837
"2022-08-04",0.0201946128496822,0.0120110286131589,0.0116149840908698
"2022-08-05",0.00546233299546905,0.0129403348224174,0.0123862929563679
"2022-08-08",0.0179644992355907,0.012645238043826,0.0123439816623727
"2022-08-09",0.00229437150586165,0.0132339483460978,0.0128634566608789
"2022-08-10",0.014482611611097,0.0128443354517628,0.0126773273826514
"2022-08-11",0.00471008445081722,0.0130846794262454,0.0128405169544534
"2022-08-12",0.0273837015029414,0.0127558113714119,0.0126037183132764
"2022-08-15",0.00237382527457797,0.0144847321420782,0.0140894220897874
"2022-08-16",0.00423759374150556,0.0140085900268432,0.0140951063841811
"2022-08-17",0.001725200674354,0.0135994406380859,0.0137440825928672
"2022-08-18",0.000922991789366279,0.013177279975569,0.0132841413788794
"2022-08-19",0.0205680348515234,0.0127787534772534,0.0127955511686299
"2022-08-22",0.00896414512659405,0.0136287959934725,0.0133984721971564
"2022-08-23",0.0210969598915529,0.013423229993235,0.0133865582023362
"2022-08-24",0.000363225624688823,0.0142343274493105,0.0140950819214492
"2022-08-25",0.00559997930345091,0.0137603597117303,0.0138923484700663
"2022-08-26",0.010919778525059,0.0134068249825233,0.0135243377938089
"2022-08-29",0.00021369233727242,0.0133305031739873,0.0133515696578443
"2022-08-30",0.0169877577942046,0.0129187905386708,0.0129349148892135
"2022-08-31",0.00825631866616128,0.0133741924423739,0.0132053788282288
"2022-09-01",0.00802084981035911,0.013155680508644,0.0130870208730761
"2022-09-02",0.00414880221251224,0.0129445237193164,0.0128571931948599
"2022-09-05",0.0120055058140309,0.0126114957704204,0.0124897174865336
"2022-09-06",0.0219771242368285,0.0126858916576494,0.0124393438948558
"2022-09-08",0.0013838312477823,0.0137158465189521,0.0133470544415315
"2022-09-09",0.0214574240343861,0.0132825276102306,0.0132209144541058
"2022-09-12",0.00980925603919758,0.0141557376610672,0.0139596680834915
"2022-09-13",0.0233104965612121,0.0139487425962023,0.0140033958417874
"2022-09-14",0.00223185132920634,0.01493223773991,0.0148861678034149
"2022-09-15",0.00537867338134213,0.0144239949285261,0.0147143085006873
"2022-09-16",0.00614870068935325,0.0140146880759451,0.014316370909855
"2022-09-19",0.0230128109122933,0.0136598780790975,0.0138986565777767
"2022-09-20",0.00617811460467799,0.0146543163797091,0.014642668038158
"2022-09-21",0.00517704194331436,0.0142527395088048,0.0145084826428122
"2022-09-22",0.0188850156436686,0.0138501541030929,0.0141156077776383
"2022-09-23",0.0208523583990043,0.0143684378748373,0.0144522638825204
"2022-09-26",0.0235667293946431,0.0150170163906776,0.0151166216825722
"2022-09-27",0.00678654496772424,0.0158667477278589,0.0160458832800119
"2022-09-28",0.000691795791032845,0.0153971814733895,0.015921347329219
"2022-09-29",0.00728319162350566,0.0148464626628886,0.0154271476178973
"2022-09-30",0.0218014064252525,0.0144695142307424,0.0149667603758672
"2022-10-03",0.0539280239506752,0.0152046951405224,0.0154599962768687
"2022-10-04",0.00082628983372679,0.020830237686493,0.0205369982430611
"2022-10-05",0.00829382549527402,0.0199439539756013,0.0211027106383498
"2022-10-06",0.00309253565830581,0.0192439059222084,0.0207168178760475
"2022-10-07",0.0101396122119652,0.0184704045410408,0.0200255701818218
"2022-10-10",0.00373629457190106,0.0179412864263208,0.0194063373362798
"2022-10-11",0.00965479315545004,0.0172582341088901,0.0186613395228816
"2022-10-13",0.00460007706911547,0.0167972792365617,0.0180419818444755
"2022-10-14",0.0196850489069522,0.0162044426495711,0.0173452610845149
"2022-10-17",0.0137532296850154,0.0165082387134724,0.0173619231241548
"2022-10-18",0.0184774643968328,0.016326390994605,0.0171949847896313
"2022-10-19",0.00457725879650717,0.0165114663080092,0.0172814221992836
"2022-10-20",0.0076849314793126,0.0159371005018178,0.0168174164592947
"2022-10-21",0.0232654947601052,0.0154941046567002,0.0162948924587558
"2022-10-24",0.0331976472189606,0.016242129021342,0.0167628441362492
"2022-10-25",0.0120275991537238,0.0180939494741251,0.0184745962808538
"2022-10-26",0.0163775154499728,0.0176815572247326,0.0186115446180931
"2022-10-27",0.0165083672517721,0.0175682214005854,0.0185668488621225
"2022-10-28",0.000890130087572771,0.0174747494134121,0.0184968833630002
"2022-10-31",0.012993729411793,0.0167919536361275,0.0179198065379145
