Activo,d_roll_1,d_roll_2,d_roll_3,d_roll_4,d_roll_5
bitcoin,0.64843873899635,0.543499357155493,0.603178905521985,0.416758510257286,0.372260068980515
sp500,0.559612741658953,0.601661491510322,0.612768144381211,0.617288442653917,0.583536860883503
ibex35,0.548884838052536,0.513537654385614,0.509987488560449,0.536994404199682,0.486863401944829
oro,,,,,
tesla,0.999999846555592,0.999999736955531,0.999999789441167,0.999999949600306,0.999999781908771
bovespa,0.992177540981253,0.923297931285715,0.33643214814593,0.332500591098063,0.976671782447134
